problem_id,classifier,sample_flag,sampler,select_flag,stratify_flag,test_mode,duplicate,total_size,split,train_ratio,train_size,upsmaple_size,tag_info,select_mode,class_mode,f_score,acc,auc,base_acc_0,base_acc_1
900/E,rft,True,smote,False,True,cross,remove, 496,ss,0.2,  99, 178,none,none,OK,0.95,0.91,0.78,0.90,0.10
113/B,rft,True,smote,False,True,cross,remove, 817,ss,0.2, 163, 186,none,none,OK,0.55,0.64,0.68,0.43,0.57

455/A,rft,True,smote,False,True,cross,remove,1363,ss,0.2, 272, 358,-all,none,OK,0.49,0.69,0.73,0.34,0.66
899/A,rft,True,smote,False,True,cross,remove, 403,ss,0.2,  80, 126,-all,none,OK,0.88,0.81,0.71,0.79,0.21
899/C,rft,True,smote,False,True,cross,remove,1774,ss,0.2, 354, 492,-all,none,OK,0.78,0.67,0.65,0.70,0.30
911/E,rft,True,smote,False,True,cross,remove, 629,ss,0.2, 125, 126,-all,none,OK,0.66,0.66,0.71,0.50,0.50
915/C,rft,True,smote,False,True,cross,remove,1430,ss,0.2, 286, 322,-all,none,OK,0.57,0.63,0.69,0.44,0.56
909/A,rft,True,smote,False,True,cross,remove,1987,ss,0.2, 397, 608,-all,none,OK,0.85,0.77,0.75,0.77,0.23
909/B,rft,True,smote,False,True,cross,remove,1914,ss,0.2, 382, 574,-all,none,OK,0.88,0.81,0.78,0.75,0.25
909/C,rft,True,smote,False,True,cross,remove,1129,ss,0.2, 225, 272,-all,none,OK,0.68,0.75,0.84,0.39,0.61
909/D,rft,True,smote,False,True,cross,remove, 951,ss,0.2, 190, 280,-all,none,OK,0.90,0.84,0.83,0.74,0.26
864/A,rft,True,smote,False,True,cross,remove,1888,ss,0.2, 377, 506,-all,none,OK,0.78,0.69,0.66,0.67,0.33
864/B,rft,True,smote,False,True,cross,remove,1747,ss,0.2, 349, 468,-all,none,OK,0.77,0.67,0.66,0.67,0.33
864/C,rft,True,smote,False,True,cross,remove,1358,ss,0.2, 271, 284,-all,none,OK,0.60,0.57,0.59,0.53,0.47
864/D,rft,True,smote,False,True,cross,remove,1659,ss,0.2, 331, 454,-all,none,OK,0.80,0.71,0.70,0.69,0.31
864/E,rft,True,smote,False,True,cross,remove, 631,ss,0.2, 126, 140,-all,none,OK,0.54,0.60,0.64,0.45,0.55
900/A,rft,True,smote,False,True,cross,remove,2364,ss,0.2, 472, 768,-all,none,OK,0.90,0.83,0.71,0.81,0.19
900/B,rft,True,smote,False,True,cross,remove,1924,ss,0.2, 384, 392,-all,none,OK,0.68,0.69,0.77,0.49,0.51
900/C,rft,True,smote,False,True,cross,remove,1798,ss,0.2, 359, 498,-all,none,OK,0.48,0.71,0.73,0.31,0.69
900/D,rft,True,smote,False,True,cross,remove,1137,ss,0.2, 227, 340,-all,none,OK,0.94,0.91,0.93,0.75,0.25
900/E,rft,True,smote,False,True,cross,remove, 496,ss,0.2,  99, 178,-all,none,OK,0.95,0.91,0.80,0.90,0.10
113/B,rft,True,smote,False,True,cross,remove, 817,ss,0.2, 163, 186,-all,none,OK,0.55,0.64,0.69,0.43,0.57

455/A,rft,True,smote,False,True,cross,remove,1419,ss,0.2, 283, 380,-all,none,OK,0.48,0.70,0.72,0.33,0.67
899/A,rft,True,smote,False,True,cross,remove, 420,ss,0.2,  84, 128,-all,none,OK,0.85,0.76,0.69,0.76,0.24
899/C,rft,True,smote,False,True,cross,remove,1785,ss,0.2, 357, 494,-all,none,OK,0.78,0.67,0.65,0.69,0.31
911/E,rft,True,smote,False,True,cross,remove, 657,ss,0.2, 131, 138,-all,none,OK,0.62,0.64,0.70,0.48,0.52
915/C,rft,True,smote,False,True,cross,remove,1599,ss,0.2, 319, 390,-all,none,OK,0.51,0.64,0.70,0.39,0.61
909/A,rft,True,smote,False,True,cross,remove,1990,ss,0.2, 398, 608,-all,none,OK,0.86,0.77,0.75,0.76,0.24
909/B,rft,True,smote,False,True,cross,remove,1918,ss,0.2, 383, 574,-all,none,OK,0.87,0.80,0.78,0.75,0.25
909/C,rft,True,smote,False,True,cross,remove,1268,ss,0.2, 253, 328,-all,none,OK,0.66,0.77,0.85,0.35,0.65
909/D,rft,True,smote,False,True,cross,remove,1113,ss,0.2, 222, 280,-all,none,OK,0.85,0.81,0.85,0.63,0.37
864/A,rft,True,smote,False,True,cross,remove,1894,ss,0.2, 378, 506,-all,none,OK,0.78,0.69,0.67,0.67,0.33
864/B,rft,True,smote,False,True,cross,remove,1753,ss,0.2, 350, 466,-all,none,OK,0.77,0.67,0.66,0.67,0.33
864/C,rft,True,smote,False,True,cross,remove,1380,ss,0.2, 276, 286,-all,none,OK,0.59,0.57,0.60,0.52,0.48
864/D,rft,True,smote,False,True,cross,remove,1712,ss,0.2, 342, 456,-all,none,OK,0.78,0.70,0.69,0.67,0.33
864/E,rft,True,smote,False,True,cross,remove, 640,ss,0.2, 128, 144,-all,none,OK,0.51,0.59,0.62,0.44,0.56
900/A,rft,True,smote,False,True,cross,remove,2411,ss,0.2, 482, 768,-all,none,OK,0.89,0.81,0.70,0.80,0.20
900/B,rft,True,smote,False,True,cross,remove,2000,ss,0.2, 400, 422,-all,none,OK,0.65,0.68,0.75,0.47,0.53
900/C,rft,True,smote,False,True,cross,remove,1849,ss,0.2, 369, 518,-all,none,OK,0.47,0.72,0.73,0.30,0.70
900/D,rft,True,smote,False,True,cross,remove,1155,ss,0.2, 231, 340,-all,none,OK,0.94,0.90,0.92,0.74,0.26
900/E,rft,True,smote,False,True,cross,remove, 506,ss,0.2, 101, 178,-all,none,OK,0.95,0.91,0.82,0.88,0.12
113/B,rft,True,smote,False,True,cross,remove,1075,ss,0.2, 215, 290,-all,none,OK,0.51,0.73,0.73,0.33,0.67

282/A,rft,True,smote,False,True,cross,remove,2523,ss,0.2, 504, 772,-all,none,OK,0.82,0.71,0.59,0.77,0.23
282/B,rft,True,smote,False,True,cross,remove,1694,ss,0.2, 338, 416,-all,none,OK,0.73,0.66,0.70,0.61,0.39
